year month day hour minute second milli f10.7 f10.7a bx by bz sw_vx sw_vy sw_vz n protontemperature,k ae al au min_temp max_temp mean_temp O2_min O2_max O2_mean O2+_min O2+_max O2+_mean specific_temp
2011 3 20 0 6 0 0 88.46 112.5 2.91 -2.89 -1.68 -336.5 -8.1 -22.3 6.38 3.634e+04 33 -16 17 200 659.7 801 2.195e+11 1.265e+17 4e+18 9.947e-06 1.483e+10 5.675e+11 800
2011 3 20 0 6 10 0 88.46 112.5 2.917 -2.858 -1.68 -336.5 -8.117 -22.43 6.397 3.647e+04 33.83 -16.17 17.67 200 659.6 801.1 2.193e+11 1.265e+17 4e+18 9.848e-06 1.415e+10 4.184e+11 800
2011 3 20 0 6 20 0 88.46 112.5 2.923 -2.827 -1.68 -336.5 -8.133 -22.57 6.413 3.661e+04 34.67 -16.33 18.33 200 659.6 801.1 2.191e+11 1.265e+17 4e+18 9.754e-06 1.367e+10 3.484e+11 800
2011 3 20 0 6 30 0 88.46 112.5 2.93 -2.795 -1.68 -336.5 -8.15 -22.7 6.43 3.675e+04 35.5 -16.5 19 200 659.5 801.1 2.19e+11 1.265e+17 4e+18 9.663e-06 1.359e+10 3.774e+11 800
2011 3 20 0 6 40 0 88.46 112.5 2.937 -2.763 -1.68 -336.6 -8.167 -22.83 6.447 3.688e+04 36.33 -16.67 19.67 200 659.5 801.1 2.188e+11 1.265e+17 4e+18 9.575e-06 1.371e+10 4.372e+11 800
2011 3 20 0 6 50 0 88.46 112.5 2.943 -2.732 -1.68 -336.6 -8.183 -22.97 6.463 3.702e+04 37.17 -16.83 20.33 200 659.5 801.2 2.187e+11 1.265e+17 4e+18 9.491e-06 1.391e+10 5.034e+11 800
2011 3 20 0 7 0 0 88.46 112.5 2.95 -2.7 -1.68 -336.6 -8.2 -23.1 6.48 3.716e+04 38 -17 21 200 659.4 801.2 2.185e+11 1.265e+17 4e+18 9.409e-06 1.415e+10 5.675e+11 800
2011 3 20 0 7 10 0 88.46 112.5 3.003 -2.623 -1.635 -336.8 -8.233 -23.08 6.513 3.839e+04 38.33 -17.17 21.17 200 659.4 801.2 2.183e+11 1.265e+17 4e+18 9.331e-06 1.35e+10 4.184e+11 800
2011 3 20 0 7 20 0 88.47 112.5 3.057 -2.547 -1.59 -337 -8.267 -23.07 6.547 3.962e+04 38.67 -17.33 21.33 200 659.3 801.2 2.182e+11 1.265e+17 4e+18 9.255e-06 1.305e+10 3.483e+11 800
2011 3 20 0 7 30 0 88.47 112.5 3.11 -2.47 -1.545 -337.2 -8.3 -23.05 6.58 4.084e+04 39 -17.5 21.5 200 659.3 801.2 2.18e+11 1.265e+17 4e+18 9.182e-06 1.3e+10 3.774e+11 800
2011 3 20 0 7 40 0 88.47 112.5 3.163 -2.393 -1.5 -337.3 -8.333 -23.03 6.613 4.207e+04 39.33 -17.67 21.67 200 659.2 801.3 2.179e+11 1.265e+17 4e+18 9.112e-06 1.314e+10 4.372e+11 800
2011 3 20 0 7 50 0 88.47 112.5 3.217 -2.317 -1.455
