<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 20110319 to 20110321</B><hr><pre>Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSM)
 3 BZ, nT (GSM)
 4 Vx Velocity,km/s
 5 Vy Velocity, km/s
 6 Vz Velocity, km/s
 7 Proton Density, n/cc
 8 Temperature, K
 9 AE-index, nT
10 AL-index, nT
11 AU-index, nT

YYYY DOY HR MN      1       2       3       4       5       6      7        8     9    10    11 
2011  78  1 35   -3.52    2.05    0.08  -338.7   -11.1    -9.7   3.25   24376.    33   -20    13
2011  78  1 36   -3.53    1.88    0.19  -339.5   -11.7    -2.8   2.97   20003.    33   -20    13
2011  78  1 37   -3.82    1.28    0.21  -338.3    -6.1    -8.4   3.01   20111.    32   -20    12
2011  78  1 38   -3.16    1.46    1.46  -336.9    -4.7   -12.1   3.12   21178.    30   -19    11
2011  78  1 39   -3.08    1.87    1.21  -335.6    -8.8   -20.6   3.56   26654.    30   -19    11
2011  78  1 40   -2.98    1.85    1.34  -342.6   -25.2   -15.3   3.47   29185.    29   -19    10
2011  78  1 41   -3.36    1.33    1.22  -345.3   -24.9   -18.9   3.32   30547.    28   -20     8
2011  78  1 42   -3.32    1.24    1.31  -333.4     3.7   -19.5   3.59   29299.    27   -20     7
2011  78  1 43   -3.61    1.23    0.72  -333.4     2.4   -19.1   3.54   28583.    28   -21     7
2011  78  1 44   -3.37    1.35    1.17  -337.7   -11.1   -19.5   3.27   26742.    28   -21     7
2011  78  1 45   -3.62    1.02    0.90  -332.0     9.6   -24.5   3.71   28809.    28   -21     7
2011  78  1 46   -3.43    1.27    0.84  -340.7   -22.9   -17.1   3.49   29016.    28   -21     7
2011  78  1 47   -3.62    0.75    0.90  -340.2   -21.2   -16.5   3.46   28462.    27   -20     7
2011  78  1 48   -3.66    0.46    0.82  -333.9     1.9    -7.7   3.12   20908.    26   -20     6
2011  78  1 49   -3.53    1.02    0.69  -335.7     1.0   -19.3   3.74   29906.    26   -21     5
2011  78  1 50   -3.60    0.69    0.68  -337.7    -5.6   -18.1   3.81   32336.    26   -21     5
2011  78  1 51   -4.07    0.25    0.02  -332.2     0.8   -19.4   3.49   25867.    25   -20     5
2011  78  1 52   -4.16    0.36   -0.22  -333.9     6.6    -9.5   3.08   19125.    25   -19     6
2011  78  1 53   -3.89    0.95    0.16  -334.3     6.4    -6.6   3.00   19711.    26   -19     7
2011  78  1 54   -3.84    0.99    0.17  -337.1    -3.6    -9.7   3.22   25088.    25   -19     6
2011  78  1 55   -3.58    1.02    0.71  -340.8   -15.3   -17.8   3.40   30038.    25   -19     6
2011  78  1 56   -3.61    0.25    0.94  -335.4     2.7   -18.9   3.61   25871.    25   -19     6
2011  78  1 57   -2.79    1.69    1.90  -334.5     5.0   -21.2   3.94   27568.    25   -19     6
2011  78  1 58   -3.36    0.46    1.60  -342.2   -19.3   -19.5   3.49   28729.    25   -18     7
2011  78  1 59   -3.25    0.95    1.59  -335.0    -1.0   -23.9   3.68   28490.    25   -18     7
2011  78  2  0   -3.22    0.81    1.63  -342.4   -21.6   -26.8   3.04   23218.    26   -18     8
2011  78  2  1   -3.22    0.61    1.69 99999.9 99999.9 99999.9 999.99 9999999.    26   -18     8
2011  78  2  2   -3.24    0.48    1.67 99999.9 99999.9 99999.9 999.99 9999999.    26   -18     8
2011  78  2  3   -3.86   -0.48    0.97  -333.6     4.3   -30.9   4.01   30764.    26   -18     8
2011  78  2  4   -2.96    0.61    2.06  -334.9     1.8   -29.1   3.88   30149.    26   -18     8
2011  78  2  5   -3.13    1.27    1.54  -339.5    -5.8   -29.5   3.61   30008.    24   -17     7
2011  78  2  6   -3.45    1.27    1.01  -345.8   -15.6   -33.0   3.33   30628.    24   -17     7
2011  78  2  7   -3.40    1.05    1.00  -340.5   -19.8   -10.1   3.62   30384.    23   -17     6
2011  78  2  8   -3.46    0.57    1.95  -340.5   -19.8   -10.1   3.62   30384.    23   -17     6
2011  78  2  9   -3.45    0.64    1.88  -334.9    -0.4   -29.6   4.02   31203.    22   -16     6
2011  78  2 10   -3.38    0.86    1.88  -334.9     0.1   -29.3   4.00   31054.    23   -16     7
2011  78  2 11   -3.46    1.11    1.08  -337.6   -12.9   -20.2   3.59   27313.    21   -15     6
2011  78  2 12   -3.37    1.03    1.08  -334.4    -9.3   -17.7   3.62   26924.    21   -15     6
2011  78  2 13   -3.25    1.38    0.83  -332.1    -3.1   -22.6   4.03   29202.    21   -14     7
2011  78  2 14   -3.57    0.47    0.86  -339.2   -16.8    -6.5   3.28   26630.    21   -15     6
2011  78  2 15   -3.30    0.93    1.19  -339.2   -16.8    -6.5   3.28   26630.    22   -15     7
2011  78  2 16   -3.34    0.82    0.70  -335.8     2.6   -21.8   3.79   30977.    22   -15     7
2011  78  2 17   -3.34    0.93    0.81  -334.4    10.9   -28.4   4.01   32845.    22   -15     7
2011  78  2 18   -3.37    0.49    1.43 99999.9 99999.9 99999.9 999.99 9999999.    23   -14     9
2011  78  2 19   -3.31    1.34    1.13  -338.1   -16.4   -11.9   3.05   23838.    21   -14     7
2011  78  2 20   -3.42    0.37    1.04  -338.0   -13.9   -14.0   3.08   24023.    22   -14     8
2011  78  2 21   -3.41    0.92    1.28  -337.3     7.6   -32.3   3.31   25597.    21   -13     8
2011  78  2 22   -2.40   -1.09    1.31  -337.3     8.0   -32.6   3.31   25624.    20   -14     6
2011  78  2 23   -3.18   -0.37    1.20 99999.9 99999.9 99999.9 999.99 9999999.    21   -15     6
2011  78  2 24   -3.29    0.80    0.64  -334.5   -10.5    -7.6   3.32   27460.    20   -14     6
2011  78  2 25   -3.03    1.18    1.09  -337.6   -12.5   -12.0   3.27   28980.    20   -15     5
2011  78  2 26   -3.15   -0.02    1.55  -338.4   -16.1   -12.0   3.19   27745.    19   -15     4
2011  78  2 27   -3.43    0.40    1.35  -338.0   -16.8   -11.2   3.17   27063.    19   -15     4
2011  78  2 28   -2.77   -1.30    1.30 99999.9 99999.9 99999.9 999.99 9999999.    20   -15     5
2011  78  2 29   -3.52    1.83    0.62 99999.9 99999.9 99999.9 999.99 9999999.    20   -15     5
2011  78  2 30   -3.67    0.40    0.16  -333.7    15.8   -25.4   3.54   34703.    19   -14     5
2011  78  2 31   -3.55   -0.27    0.72  -333.5     2.2   -14.4   3.39   31277.    19   -14     5
